time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10
30.05.2019 16:50:11,28,27,27,27,28,27,27,28,27,27
30.05.2019 17:40:25,27,27,27,27,28,27,27,28,27,27
30.05.2019 18:40:35,27,27,27,27,27,26,26,27,27,27
30.05.2019 19:20:45,27,26,26,27,27,26,26,27,27,27
30.05.2019 19:50:47,27,26,26,26,27,26,26,27,27,27
30.05.2019 20:10:48,27,26,26,26,27,26,26,27,27,27
30.05.2019 20:40:50,27,26,26,26,27,26,26,27,27,27
30.05.2019 21:10:52,26,26,26,26,27,26,26,27,26,27
30.05.2019 21:31:02,26,26,26,26,27,26,26,27,26,27
30.05.2019 21:41:03,26,26,26,26,27,26,26,27,26,27
30.05.2019 23:01:41,26,25,25,26,26,25,25,26,26,26
31.05.2019 0:12:05,26,25,25,25,26,25,25,26,26,26
31.05.2019 1:02:18,25,25,25,25,26,25,25,26,25,25
31.05.2019 1:22:22,25,25,25,26,26,25,25,26,25,25
31.05.2019 1:42:23,25,25,25,25,26,25,25,26,25,25
31.05.2019 1:52:24,25,25,25,25,25,25,25,26,25,25
31.05.2019 2:12:30,25,25,25,25,25,25,25,26,25,25
31.05.2019 2:32:31,25,25,25,25,25,25,25,26,25,25
31.05.2019 2:42:32,25,25,25,25,25,25,25,26,25,25
31.05.2019 3:02:33,25,25,25,25,26,25,25,26,25,25
31.05.2019 3:12:34,25,25,25,25,26,25,25,26,25,25
31.05.2019 3:32:35,25,25,25,25,25,25,25,26,25,25
31.05.2019 3:52:36,25,24,25,25,25,25,25,25,25,25
31.05.2019 4:02:37,25,24,25,25,25,25,25,26,25,25
31.05.2019 4:22:38,25,24,25,25,25,24,24,25,25,25
31.05.2019 4:42:42,25,25,25,25,25,25,24,25,25,25
31.05.2019 4:52:43,25,25,25,25,25,25,25,26,25,25
31.05.2019 5:12:44,25,24,25,25,25,24,25,25,25,25
31.05.2019 5:42:46,25,24,25,25,25,24,24,25,25,25
31.05.2019 6:02:47,25,24,25,25,25,24,24,25,25,25
31.05.2019 6:12:48,25,25,25,25,25,24,24,25,25,25
31.05.2019 6:32:49,25,25,25,25,25,24,24,25,25,25
31.05.2019 6:52:50,25,24,25,25,25,24,24,25,25,25
31.05.2019 7:02:51,25,24,25,25,25,24,24,25,25,25
31.05.2019 7:52:59,25,25,25,25,25,24,24,25,25,25
31.05.2019 8:13:00,25,25,25,25,25,25,25,25,25,25
31.05.2019 8:23:01,25,25,25,25,25,25,25,25,25,25
31.05.2019 8:43:02,25,25,25,25,25,25,24,26,25,25
31.05.2019 8:53:03,25,25,25,25,25,25,25,26,25,25
31.05.2019 9:43:09,26,25,26,26,26,25,25,26,26,26
31.05.2019 10:53:37,27,26,26,26,27,26,26,27,27,27
31.05.2019 11:23:39,27,26,27,27,28,27,27,28,27,27
31.05.2019 11:53:41,28,27,27,28,28,28,27,28,28,28
31.05.2019 12:23:43,28,27,27,28,28,28,27,28,28,28
31.05.2019 12:53:45,26,25,26,27,27,26,26,27,27,26
31.05.2019 13:03:46,25,24,25,26,27,26,26,27,26,26
31.05.2019 14:04:03,27,26,27,27,27,26,26,27,27,27
31.05.2019 15:24:36,25,25,25,26,26,25,25,27,26,26
31.05.2019 15:54:38,28,28,28,28,28,27,27,28,27,27
31.05.2019 16:34:41,25,25,25,26,26,25,25,27,26,26
31.05.2019 16:44:42,26,26,26,27,27,26,26,27,27,27
31.05.2019 17:04:44,26,26,26,26,27,26,26,27,26,27
31.05.2019 17:14:45,27,27,27,27,28,27,27,28,27,27
31.05.2019 17:54:49,27,26,26,27,27,26,26,27,27,26
31.05.2019 18:04:50,26,26,26,26,27,26,26,27,26,26
31.05.2019 18:54:56,25,24,25,25,26,25,25,26,25,26
31.05.2019 19:24:58,26,25,25,25,26,25,26,25,26,26
31.05.2019 19:55:00,25,26,26,26,26,25,25,26,26,26
31.05.2019 20:15:01,26,25,25,26,26,25,25,26,26,26
31.05.2019 20:35:02,26,25,25,26,26,25,25,26,26,26
31.05.2019 20:55:03,25,25,25,25,26,25,25,26,26,26
31.05.2019 21:05:04,25,25,25,25,26,25,25,26,25,25
31.05.2019 21:25:05,25,25,25,25,26,25,25,26,25,25
31.05.2019 21:45:06,25,25,25,25,26,25,25,26,25,25
31.05.2019 22:15:08,25,24,24,24,25,24,24,25,25,25
31.05.2019 22:55:13,26,25,25,25,26,25,25,26,25,26
31.05.2019 23:25:15,25,25,25,25,26,25,25,26,25,25
31.05.2019 23:45:16,25,25,25,25,26,25,25,26,25,25
01.06.2019 0:05:17,25,25,25,25,25,25,25,26,25,25
01.06.2019 0:35:22,26,25,25,25,26,25,25,26,25,25
01.06.2019 0:55:23,25,25,25,25,25,25,25,26,25,25
01.06.2019 1:25:25,25,25,25,25,25,25,25,26,25,25
01.06.2019 1:45:26,25,25,25,25,25,25,25,26,25,25
01.06.2019 1:55:27,25,25,25,25,25,25,25,26,25,25
01.06.2019 2:15:28,25,25,25,25,25,25,25,26,25,25
01.06.2019 2:35:29,25,25,25,25,25,25,25,26,25,25
01.06.2019 2:55:30,25,25,25,25,25,25,25,25,25,25
01.06.2019 3:05:31,25,25,25,25,25,25,25,26,25,25
01.06.2019 3:25:32,25,25,25,25,25,25,25,26,25,25
01.06.2019 3:45:33,25,25,25,25,26,25,25,26,25,25
01.06.2019 4:05:34,25,25,25,25,25,25,25,26,25,25
01.06.2019 4:15:35,25,25,25,25,25,25,25,26,25,25
01.06.2019 4:35:36,25,25,25,25,25,25,25,26,25,25
01.06.2019 4:55:37,25,25,25,25,25,25,25,26,25,25
01.06.2019 5:25:39,25,25,25,25,26,25,25,26,25,25
01.06.2019 5:45:40,25,25,25,25,25,25,25,26,25,25
01.06.2019 6:05:41,25,25,25,25,25,25,25,26,25,25
01.06.2019 6:35:43,25,25,25,25,25,25,25,26,25,25
01.06.2019 6:55:44,25,25,25,25,26,25,25,26,25,25
01.06.2019 7:15:45,25,25,25,25,25,25,25,26,25,25
01.06.2019 7:25:46,25,25,25,25,25,25,25,26,25,25
01.06.2019 7:45:47,25,25,25,25,25,25,25,26,25,25
01.06.2019 8:05:48,25,25,25,25,25,25,25,26,25,25
01.06.2019 8:25:49,25,25,25,25,25,25,25,26,25,25
01.06.2019 8:55:51,25,25,25,25,26,25,25,26,25,25
01.06.2019 9:15:52,25,25,25,25,26,25,25,26,25,25
01.06.2019 9:35:53,26,25,25,25,26,25,25,26,25,25
01.06.2019 10:06:00,27,26,26,26,27,26,26,27,26,26
01.06.2019 10:36:02,27,26,26,26,27,26,26,27,27,27
01.06.2019 10:56:03,27,27,27,27,28,27,27,28,27,27
01.06.2019 11:36:06,29,28,28,28,29,28,28,29,28,28
01.06.2019 12:06:11,29,28,29,28,30,29,29,30,29,29
01.06.2019 12:56:19,30,29,29,30,30,30,29,30,30,30
01.06.2019 13:16:20,30,29,29,30,31,30,30,30,30,30
01.06.2019 13:46:23,30,30,30,31,31,30,30,31,30,31
01.06.2019 15:36:57,28,27,28,28,29,28,28,29,28,28
01.06.2019 15:56:58,26,26,27,27,28,27,27,28,28,28
01.06.2019 16:07:00,26,25,26,27,27,26,26,27,27,27
01.06.2019 16:37:05,27,26,27,27,28,27,27,28,27,28
01.06.2019 16:57:10,28,27,27,27,28,27,27,28,28,28
01.06.2019 17:27:13,26,26,26,27,27,26,26,27,27,27
01.06.2019 18:07:16,27,27,27,27,28,27,27,28,27,27
01.06.2019 18:17:17,27,27,27,27,28,27,27,27,27,27
01.06.2019 19:07:26,26,25,26,26,27,26,26,27,27,27
01.06.2019 19:37:28,26,26,26,26,27,26,26,27,27,27
01.06.2019 20:07:30,26,26,26,26,27,26,26,27,27,27
01.06.2019 20:27:34,26,26,26,26,27,26,26,27,27,27
01.06.2019 20:37:35,26,26,26,26,27,26,26,27,27,27
01.06.2019 20:57:36,25,24,25,26,26,25,25,26,26,26
01.06.2019 21:27:41,25,25,25,25,26,25,26,26,26,26
01.06.2019 21:47:42,25,25,25,26,26,25,25,26,26,26
01.06.2019 22:07:43,26,26,26,26,26,26,26,27,26,26
01.06.2019 22:37:45,26,26,26,26,26,26,26,27,26,26
01.06.2019 22:57:46,27,26,26,26,27,26,26,27,26,26
01.06.2019 23:17:47,26,26,26,26,26,26,26,27,26,26
