time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10
26.07.2019 20:12:16,26,26,26,26,26,25,25,26,26,26
26.07.2019 20:22:17,25,25,25,25,26,25,25,26,25,25
26.07.2019 21:12:21,24,24,24,24,24,23,23,24,24,24
26.07.2019 23:02:37,22,22,22,23,23,22,22,23,22,23
26.07.2019 23:42:40,22,22,22,22,23,22,22,23,22,22
27.07.2019 1:02:47,22,21,22,22,23,22,22,23,22,22
27.07.2019 1:12:48,22,22,22,22,23,22,22,23,22,22
27.07.2019 2:32:58,21,21,22,22,22,21,22,22,22,22
27.07.2019 3:13:01,21,21,22,22,22,22,21,22,22,22
27.07.2019 3:23:02,21,21,21,22,22,22,22,23,22,22
27.07.2019 4:03:05,21,21,21,22,22,21,22,22,22,22
27.07.2019 5:03:10,21,21,21,22,22,21,21,22,21,21
27.07.2019 5:53:20,21,21,21,22,22,21,21,22,22,21
27.07.2019 6:33:23,21,21,21,22,22,21,21,22,22,22
27.07.2019 7:23:27,21,21,21,22,22,21,21,22,22,22
27.07.2019 8:13:34,21,21,21,22,22,21,21,22,21,21
27.07.2019 9:13:53,21,21,21,22,22,21,21,22,21,21
27.07.2019 10:04:00,21,21,21,22,22,21,21,22,21,21
27.07.2019 11:14:06,25,24,24,25,25,24,24,25,25,25
27.07.2019 11:54:09,26,26,26,26,27,26,26,27,26,26
27.07.2019 12:34:12,28,27,27,28,28,27,27,28,28,28
27.07.2019 12:44:13,28,27,28,28,28,28,27,28,28,28
27.07.2019 13:44:18,29,28,28,29,29,28,28,29,29,29
27.07.2019 14:44:26,28,28,28,28,29,28,28,29,28,28
27.07.2019 15:34:30,28,28,28,28,29,28,28,29,28,28
27.07.2019 15:44:31,28,28,28,28,28,28,28,29,28,28
27.07.2019 16:54:44,26,25,26,26,27,26,26,27,26,26
27.07.2019 17:04:45,26,25,26,26,26,25,25,27,26,26
27.07.2019 17:44:48,25,25,25,25,26,25,25,26,25,25
27.07.2019 18:44:53,25,24,24,25,25,24,24,25,25,25
27.07.2019 19:34:57,26,25,25,26,26,25,25,26,26,26
27.07.2019 20:25:01,26,25,25,26,26,25,25,26,26,26
27.07.2019 20:35:02,26,25,25,25,26,25,25,26,26,26
27.07.2019 21:15:05,26,25,26,26,26,25,25,26,26,26
27.07.2019 21:55:08,26,25,25,25,26,25,25,26,26,26
27.07.2019 22:05:09,26,25,25,25,26,25,25,26,26,25
27.07.2019 22:45:12,26,25,25,25,26,25,25,26,26,25
27.07.2019 23:45:20,25,25,25,25,26,25,25,26,26,25
27.07.2019 23:55:21,26,25,25,25,26,25,25,26,25,25
28.07.2019 0:15:23,26,25,25,25,26,25,25,26,26,25
28.07.2019 1:05:27,26,25,25,26,26,25,25,26,26,26
28.07.2019 1:45:30,26,25,25,25,26,25,25,26,26,25
28.07.2019 2:25:33,25,25,25,25,25,25,25,26,25,25
28.07.2019 2:35:34,25,25,25,25,25,25,25,26,25,25
28.07.2019 3:15:37,26,25,25,26,26,25,25,26,26,26
28.07.2019 4:05:44,25,25,25,25,25,25,25,26,25,25
28.07.2019 4:15:45,25,25,25,25,25,25,25,26,25,25
28.07.2019 4:55:48,25,25,25,25,25,25,25,26,25,25
28.07.2019 5:45:52,25,25,25,25,25,25,25,26,25,25
28.07.2019 6:35:59,25,25,25,25,25,25,25,26,25,25
28.07.2019 7:06:02,26,25,25,25,26,25,25,26,25,25
28.07.2019 7:16:02,26,25,25,25,26,25,25,26,26,25
28.07.2019 8:06:07,26,25,25,25,26,25,25,26,25,25
28.07.2019 8:16:08,26,25,25,25,26,25,25,26,26,25
28.07.2019 8:56:11,26,25,25,26,26,25,25,26,26,26
28.07.2019 10:26:21,27,26,27,27,27,26,27,27,27,27
28.07.2019 10:36:22,27,26,27,27,28,27,27,27,27,27
28.07.2019 11:16:25,28,27,27,28,28,28,28,28,28,28
28.07.2019 11:56:28,29,28,28,29,29,28,28,29,29,29
28.07.2019 12:46:32,29,29,29,29,29,29,29,30,30,29
28.07.2019 13:26:38,30,29,29,29,30,29,29,30,30,30
28.07.2019 13:36:39,30,29,29,30,30,30,29,30,30,30
28.07.2019 14:16:42,30,29,29,30,30,30,29,30,30,30
28.07.2019 14:56:45,30,29,29,29,30,29,29,30,30,30
28.07.2019 15:06:46,29,29,29,29,30,29,29,30,30,30
28.07.2019 15:56:51,29,29,29,29,29,29,29,30,29,29
28.07.2019 16:36:54,29,28,28,29,29,28,28,29,29,29
28.07.2019 16:46:55,29,28,28,28,29,28,28,29,29,29
28.07.2019 17:26:58,28,28,28,28,28,28,28,29,28,28
28.07.2019 17:36:59,28,28,28,28,28,28,28,29,28,28
28.07.2019 18:17:02,28,27,28,28,28,27,27,28,28,28
28.07.2019 18:57:05,26,25,26,26,26,25,25,26,25,26
28.07.2019 19:07:06,25,25,25,25,26,25,24,25,25,25
28.07.2019 19:47:09,24,24,24,24,25,24,24,25,24,24
28.07.2019 20:27:12,25,25,25,25,26,25,25,26,25,25
28.07.2019 20:47:14,26,25,26,26,26,25,25,26,26,26
28.07.2019 20:57:15,26,25,26,26,26,25,25,26,26,26
28.07.2019 21:37:18,27,26,26,26,26,26,26,27,26,26
28.07.2019 21:47:19,26,26,26,26,26,26,26,27,26,26
28.07.2019 22:27:22,26,25,26,26,26,26,26,27,26,26
28.07.2019 23:17:26,26,26,26,26,26,26,26,27,26,26
28.07.2019 23:27:27,27,26,26,26,26,26,26,27,26,26
28.07.2019 23:37:28,27,26,26,26,27,26,26,27,26,26
29.07.2019 0:27:32,26,26,26,26,26,26,26,27,26,26
29.07.2019 1:07:35,26,26,26,26,26,26,26,27,26,26
29.07.2019 1:17:36,26,26,26,26,26,26,26,27,26,26
29.07.2019 2:07:40,26,26,26,26,27,26,26,27,26,26
29.07.2019 2:47:43,26,26,26,26,26,26,26,27,26,26
29.07.2019 3:37:47,27,26,26,26,27,26,26,27,26,26
29.07.2019 3:47:48,27,26,26,26,27,26,26,27,26,26
29.07.2019 4:17:50,26,26,26,26,26,26,26,27,26,26
29.07.2019 4:27:51,26,26,26,26,26,26,26,27,26,26
29.07.2019 5:07:54,26,26,26,26,26,26,26,27,26,26
29.07.2019 5:58:01,27,26,26,26,26,26,26,27,26,26
29.07.2019 6:38:04,26,26,26,26,26,26,26,27,26,26
29.07.2019 6:48:05,26,26,26,26,26,26,26,27,26,26
29.07.2019 7:28:08,27,26,26,26,26,26,26,27,26,26
29.07.2019 7:38:09,27,26,26,27,27,26,26,27,26,26
29.07.2019 8:18:12,27,26,26,26,27,26,26,27,27,26
29.07.2019 8:28:13,27,26,26,26,27,26,26,27,26,27
29.07.2019 9:08:16,27,26,27,27,27,26,26,27,27,27
29.07.2019 9:18:17,27,26,27,27,27,26,26,27,27,27
29.07.2019 9:58:23,26,26,26,26,26,26,26,27,26,26
29.07.2019 10:18:25,27,26,26,26,26,26,26,27,26,26
29.07.2019 10:58:32,27,26,26,27,27,26,26,27,27,27
29.07.2019 11:08:33,27,26,26,27,27,26,26,27,27,27
29.07.2019 11:18:34,27,26,26,27,27,26,26,27,27,27
29.07.2019 12:28:42,28,27,27,27,28,27,27,28,28,28
29.07.2019 13:38:51,26,26,26,26,27,26,25,27,26,26
29.07.2019 14:58:58,25,25,25,26,26,25,25,26,25,25
29.07.2019 15:29:01,25,25,25,25,26,25,25,26,25,25
29.07.2019 15:49:03,25,25,25,25,26,25,24,26,25,25
29.07.2019 16:39:07,25,24,24,25,25,24,24,25,24,24
29.07.2019 16:59:09,24,24,24,25,25,24,24,25,24,24
29.07.2019 17:09:10,24,24,24,24,25,24,24,25,24,24
29.07.2019 17:59:15,24,23,24,24,24,23,23,24,24,24
29.07.2019 18:29:18,29,28,28,28,28,27,27,28,28,28
29.07.2019 19:09:21,29,28,28,29,29,28,28,29,28,28
29.07.2019 19:59:25,28,28,28,28,29,28,28,28,28,28
29.07.2019 20:09:26,28,28,28,28,28,27,27,28,28,28
29.07.2019 20:49:29,27,27,27,27,28,27,27,28,28,28
29.07.2019 20:59:30,27,27,27,27,27,27,27,28,27,27
29.07.2019 21:39:33,27,27,27,27,27,27,27,27,27,27
29.07.2019 21:49:34,27,26,27,27,27,27,27,27,27,27
29.07.2019 22:29:37,27,26,26,26,27,26,26,27,27,27
29.07.2019 22:39:38,27,26,26,26,27,26,26,27,27,27
29.07.2019 23:19:41,27,26,26,26,27,26,26,27,27,27
29.07.2019 23:59:44,27,26,27,27,27,26,26,27,27,27
30.07.2019 0:09:45,27,26,26,26,27,26,26,27,27,27
30.07.2019 0:49:48,27,26,26,27,27,26,26,27,27,27
30.07.2019 1:29:51,27,26,27,27,27,26,26,27,27,27
30.07.2019 2:09:54,27,26,26,27,27,26,26,27,27,27
30.07.2019 2:49:57,27,26,26,27,27,26,26,27,27,27
30.07.2019 3:40:01,27,26,27,27,27,26,26,27,27,27
30.07.2019 4:20:04,27,26,26,26,27,26,26,27,26,27
30.07.2019 5:00:10,27,26,26,26,27,26,26,27,26,26
30.07.2019 5:40:13,27,26,26,27,27,26,26,27,27,27
30.07.2019 5:50:14,27,26,26,27,27,26,26,27,27,27
30.07.2019 6:20:16,27,26,26,26,27,26,26,27,26,27
30.07.2019 6:30:17,26,26,26,26,27,26,26,27,27,26
30.07.2019 7:10:20,26,26,26,26,27,26,26,27,26,26
30.07.2019 7:50:23,27,26,27,27,27,26,26,27,27,27
30.07.2019 8:30:26,25,24,24,25,25,24,24,25,24,25
30.07.2019 9:20:30,24,23,24,24,25,24,23,24,24,24
30.07.2019 11:00:41,28,27,27,28,28,27,27,28,28,28
30.07.2019 12:00:46,30,29,29,29,30,29,29,30,30,30
30.07.2019 12:10:47,30,29,29,30,31,30,29,30,30,30
30.07.2019 12:40:50,30,30,30,30,31,30,30,31,31,31
30.07.2019 13:10:53,30,30,30,31,31,30,30,31,31,31
30.07.2019 13:20:54,30,30,30,30,31,30,30,31,30,30
30.07.2019 13:30:55,30,30,30,31,31,30,30,31,31,31
30.07.2019 13:40:56,30,30,30,30,31,30,30,31,30,30
30.07.2019 13:50:57,28,28,28,29,29,28,28,29,28,28
30.07.2019 14:41:01,29,28,28,29,29,28,29,29,29,29
30.07.2019 15:01:03,29,29,29,29,30,29,29,30,30,30
30.07.2019 15:51:07,29,29,29,29,30,29,29,30,29,29
30.07.2019 16:01:08,28,28,28,29,29,28,28,29,28,29
30.07.2019 17:01:16,26,26,26,26,27,25,25,26,26,26
30.07.2019 17:11:17,27,26,27,26,27,26,27,27,27,26
30.07.2019 18:11:47,28,27,28,28,28,28,28,29,28,28
30.07.2019 19:22:17,28,27,28,28,29,28,28,29,28,28
30.07.2019 19:32:18,28,27,28,28,28,28,28,29,28,28
30.07.2019 20:12:22,27,26,27,27,27,26,27,28,28,28
30.07.2019 21:02:26,27,26,27,27,27,27,27,28,28,28
30.07.2019 21:12:27,27,26,26,26,28,27,27,28,27,27
30.07.2019 21:52:30,28,27,27,27,28,27,27,28,28,28
30.07.2019 22:02:31,27,27,27,27,28,27,27,28,28,28
30.07.2019 22:42:34,27,27,27,27,28,27,27,28,27,28
30.07.2019 23:32:38,28,27,27,27,28,27,27,28,28,28
31.07.2019 0:22:42,27,27,27,27,27,27,27,28,27,27
31.07.2019 1:12:46,27,27,27,27,27,26,27,28,27,27
31.07.2019 1:22:47,27,27,27,27,27,26,27,28,27,27
31.07.2019 2:02:50,27,26,27,27,27,27,27,28,27,27
31.07.2019 2:12:51,27,26,27,27,27,26,27,28,27,27
31.07.2019 3:02:55,27,26,27,27,27,26,27,28,27,27
31.07.2019 3:52:59,27,26,27,27,27,26,26,28,27,27
31.07.2019 4:53:04,27,26,27,27,27,26,26,27,27,27
31.07.2019 5:43:08,27,26,27,27,27,26,27,28,27,27
