stamp_time,count(tstep)
"2019-05-26 15:56:51",12
"2019-05-26 16:26:57",12
"2019-05-26 16:56:59",12
"2019-05-26 17:07:00",12
"2019-05-26 17:27:01",12
"2019-05-26 17:57:03",12
"2019-05-26 18:07:04",12
"2019-05-26 18:27:06",12
"2019-05-26 18:57:11",12
"2019-05-26 20:47:58",12
"2019-05-26 22:08:35",12
"2019-05-26 22:38:43",12
"2019-05-26 23:48:59",12
"2019-05-27 00:19:10",12
"2019-05-27 01:09:37",12
"2019-05-27 02:10:06",12
"2019-05-27 02:30:12",12
"2019-05-27 03:30:34",12
"2019-05-27 03:50:41",12
"2019-05-27 04:00:42",12
"2019-05-27 04:30:48",12
"2019-05-27 05:20:57",12
"2019-05-27 06:11:14",12
"2019-05-27 07:11:33",12
"2019-05-27 07:41:41",12
"2019-05-27 08:01:42",12
"2019-05-27 08:41:57",12
"2019-05-27 09:32:15",12
"2019-05-27 10:12:30",12
"2019-05-27 10:42:32",12
"2019-05-27 11:12:35",12
"2019-05-27 12:33:10",12
"2019-05-27 13:33:25",12
"2019-05-27 14:33:40",12
"2019-05-27 15:13:43",12
"2019-05-27 15:43:48",12
"2019-05-27 16:14:02",12
"2019-05-27 16:44:05",12
"2019-05-27 18:14:13",12
"2019-05-27 18:24:14",12
"2019-05-27 18:44:18",12
"2019-05-27 18:54:19",12
"2019-05-27 19:24:22",12
"2019-05-27 19:34:23",12
"2019-05-27 20:44:33",12
"2019-05-27 21:14:35",12
"2019-05-27 21:44:40",12
"2019-05-27 22:04:41",12
"2019-05-27 22:34:43",12
"2019-05-27 22:54:47",12
"2019-05-27 23:34:53",12
"2019-05-27 23:44:53",12
"2019-05-28 00:14:55",12
"2019-05-28 00:34:56",12
"2019-05-28 01:04:58",12
"2019-05-28 01:24:59",12
"2019-05-28 03:05:14",12
"2019-05-28 03:25:18",12
"2019-05-28 03:55:20",12
"2019-05-28 04:15:21",12
"2019-05-28 04:35:22",12
"2019-05-28 04:45:23",12
"2019-05-28 05:05:24",12
"2019-05-28 05:25:25",12
"2019-05-28 05:35:26",12
"2019-05-28 05:55:27",12
"2019-05-28 06:25:29",12
"2019-05-28 06:55:31",12
"2019-05-28 07:15:32",12
"2019-05-28 07:35:33",12
"2019-05-28 07:45:34",12
"2019-05-28 08:05:35",12
"2019-05-28 08:25:36",12
