time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10
09.08.2019 18:47:30,25,24,25,26,26,25,25,26,26,25
09.08.2019 19:47:39,26,25,26,26,27,26,26,27,26,26
09.08.2019 19:57:40,26,25,26,26,27,26,25,26,26,26
09.08.2019 20:17:41,26,25,25,26,26,25,25,26,26,26
09.08.2019 20:37:42,26,25,25,26,26,25,25,26,26,26
09.08.2019 21:07:47,26,25,25,26,26,25,25,26,26,26
09.08.2019 21:17:48,26,25,25,26,26,25,25,26,26,25
09.08.2019 21:27:49,26,25,25,25,26,25,25,26,26,25
09.08.2019 21:47:50,26,25,25,25,26,25,25,26,26,25
09.08.2019 22:07:51,25,25,25,25,25,25,24,26,25,25
09.08.2019 22:17:52,25,24,25,25,25,25,24,26,25,25
09.08.2019 22:37:53,25,24,25,25,25,24,24,26,25,25
09.08.2019 23:07:55,25,24,24,25,25,24,24,26,25,25
09.08.2019 23:27:56,25,24,25,25,25,24,24,26,25,25
09.08.2019 23:57:58,25,24,24,25,25,24,24,25,25,25
10.08.2019 0:28:00,25,24,24,25,25,24,24,25,25,25
10.08.2019 1:18:03,25,24,24,24,25,24,24,25,25,24
10.08.2019 1:48:05,25,24,24,24,25,24,24,25,25,25
10.08.2019 2:08:07,24,24,24,24,25,24,24,25,25,24
10.08.2019 2:18:07,24,23,24,24,24,24,24,25,24,24
10.08.2019 2:38:09,24,24,24,24,24,23,24,25,24,24
10.08.2019 2:58:10,24,23,24,24,24,23,24,25,24,24
10.08.2019 3:28:12,24,23,24,24,24,23,23,25,24,24
10.08.2019 3:58:14,24,24,24,24,24,24,24,25,24,24
10.08.2019 4:38:17,24,23,24,24,24,23,23,25,24,24
10.08.2019 4:58:18,24,23,23,24,24,23,23,25,24,24
10.08.2019 5:08:19,24,23,24,24,24,23,23,24,24,24
10.08.2019 5:38:21,24,23,23,24,24,23,23,24,24,24
10.08.2019 5:58:22,24,23,23,24,24,23,23,25,24,24
10.08.2019 6:28:24,24,23,23,24,24,23,23,24,24,24
10.08.2019 6:48:25,24,23,23,24,24,23,23,24,24,24
10.08.2019 6:58:26,24,23,23,24,24,23,23,24,24,24
10.08.2019 7:18:27,24,23,23,24,24,23,23,24,24,24
